index,role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format,task_wording,prompt_text
160,sorcerer,masculine,feminine,True,"['sorcerer', 'sorceress']",I do something every single day that gives me magic superpowers and has turned me into a legit conjuring sorcerer.,I do something every single day that gives me magic superpowers and has turned me into a legit conjuring [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I do something every single day that gives me magic superpowers and has turned me into a legit conjuring sorcerer.
161,sorceress,feminine,feminine,False,"['sorcerer', 'sorceress']",I do something every single day that gives me magic superpowers and has turned me into a legit conjuring sorceress.,I do something every single day that gives me magic superpowers and has turned me into a legit conjuring [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I do something every single day that gives me magic superpowers and has turned me into a legit conjuring sorceress.
162,sorcerer,masculine,feminine,True,"['sorcerer', 'sorceress']","It makes me feel like some kind of fiendish sorcerer when after a lot of frantic trials, manic errors and happy accidents, I create a 3 dimensional object from a flat piece of fabric.","It makes me feel like some kind of fiendish [ROLE NOUN] when after a lot of frantic trials, manic errors and happy accidents, I create a 3 dimensional object from a flat piece of fabric.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: It makes me feel like some kind of fiendish sorcerer when after a lot of frantic trials, manic errors and happy accidents, I create a 3 dimensional object from a flat piece of fabric."
163,sorceress,feminine,feminine,False,"['sorcerer', 'sorceress']","It makes me feel like some kind of fiendish sorceress when after a lot of frantic trials, manic errors and happy accidents, I create a 3 dimensional object from a flat piece of fabric.","It makes me feel like some kind of fiendish [ROLE NOUN] when after a lot of frantic trials, manic errors and happy accidents, I create a 3 dimensional object from a flat piece of fabric.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: It makes me feel like some kind of fiendish sorceress when after a lot of frantic trials, manic errors and happy accidents, I create a 3 dimensional object from a flat piece of fabric."
164,sorcerer,masculine,feminine,True,"['sorcerer', 'sorceress']","I’m a personal style coach, performing artist, and creative femme sorcerer.","I’m a personal style coach, performing artist, and creative femme [ROLE NOUN].",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m a personal style coach, performing artist, and creative femme sorcerer."
165,sorceress,feminine,feminine,False,"['sorcerer', 'sorceress']","I’m a personal style coach, performing artist, and creative femme sorceress.","I’m a personal style coach, performing artist, and creative femme [ROLE NOUN].",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m a personal style coach, performing artist, and creative femme sorceress."
166,sorcerer,masculine,feminine,True,"['sorcerer', 'sorceress']","My parents would find me swaying like a sorcerer under the olive tree, whispering madly to myself while constructing complex characters and plot lines.","My parents would find me swaying like a [ROLE NOUN] under the olive tree, whispering madly to myself while constructing complex characters and plot lines.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: My parents would find me swaying like a sorcerer under the olive tree, whispering madly to myself while constructing complex characters and plot lines."
167,sorceress,feminine,feminine,False,"['sorcerer', 'sorceress']","My parents would find me swaying like a sorceress under the olive tree, whispering madly to myself while constructing complex characters and plot lines.","My parents would find me swaying like a [ROLE NOUN] under the olive tree, whispering madly to myself while constructing complex characters and plot lines.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: My parents would find me swaying like a sorceress under the olive tree, whispering madly to myself while constructing complex characters and plot lines."
168,sorcerer,masculine,feminine,True,"['sorcerer', 'sorceress']",I felt like a sorcerer who does things that only a few can.,I felt like a [ROLE NOUN] who does things that only a few can.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I felt like a sorcerer who does things that only a few can.
169,sorceress,feminine,feminine,False,"['sorcerer', 'sorceress']",I felt like a sorceress who does things that only a few can.,I felt like a [ROLE NOUN] who does things that only a few can.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I felt like a sorceress who does things that only a few can.
170,sorcerer,masculine,feminine,True,"['sorcerer', 'sorceress']","Part process-sorcerer, part cat-herder, I'm the quick-witted, resourceful, and pragmatic leader you need to get everyone rowing in the same direction.","Part process-[ROLE NOUN], part cat-herder, I'm the quick-witted, resourceful, and pragmatic leader you need to get everyone rowing in the same direction.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Part process-sorcerer, part cat-herder, I'm the quick-witted, resourceful, and pragmatic leader you need to get everyone rowing in the same direction."
171,sorceress,feminine,feminine,False,"['sorcerer', 'sorceress']","Part process-sorceress, part cat-herder, I'm the quick-witted, resourceful, and pragmatic leader you need to get everyone rowing in the same direction.","Part process-[ROLE NOUN], part cat-herder, I'm the quick-witted, resourceful, and pragmatic leader you need to get everyone rowing in the same direction.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Part process-sorceress, part cat-herder, I'm the quick-witted, resourceful, and pragmatic leader you need to get everyone rowing in the same direction."
